record_index,delta,L_B,constraint_residual,finite_q_relative_error,incoming_plateau,outgoing_plateau
229,3.162277661949986e-07,11.167831139259462,1.0858216994806547e-15,3.8541113546112324e-08,True,True
230,3.162277661949986e-07,14.909531915233938,5.169069382596203e-16,8.608916596719347e-11,True,True
231,3.162277661949986e-07,8.922810673674777,7.192393924361495e-16,7.430249813783872e-08,True,True
232,3.162277661949986e-07,11.167831139259462,1.0858216994806547e-15,3.8541113546112324e-08,True,True
233,3.162277661949986e-07,14.909531915233938,5.169069382596203e-16,8.608916596719347e-11,True,True
234,3.162277661949986e-07,8.922810673674777,7.192393924361495e-16,7.430249813783872e-08,True,True
235,3.162277661949986e-07,11.167831139259462,1.0858216994806547e-15,3.8541113546112324e-08,True,True
236,3.162277661949986e-07,14.909531915233938,5.169069382596203e-16,8.608916596719347e-11,True,True
237,3.162277661949986e-07,8.922810673674777,7.192393924361495e-16,7.430249813783872e-08,True,True
238,3.162277661949986e-07,11.167831139259462,1.0858216994806547e-15,3.8541113546112324e-08,True,True
239,3.162277661949986e-07,14.909531915233938,5.169069382596203e-16,8.608916596719347e-11,True,True
240,3.162277661949986e-07,8.521257393669138,1.2303022210859245e-15,7.245142727670971e-08,True,True
241,3.162277661949986e-07,10.766277859253824,1.2272626491449667e-15,8.234464770450785e-08,True,True
242,3.162277661949986e-07,14.507978635228302,6.603401094158745e-16,8.135602188343674e-11,True,True
243,3.162277661949986e-07,8.526265749292374,6.185683941154704e-16,7.247331709978523e-08,True,True
244,3.162277661949986e-07,10.77128621487706,1.2572137341598788e-15,8.236585989018921e-08,True,True
245,3.162277661949986e-07,14.512986990851536,5.735836068263001e-16,8.154162219529635e-11,True,True
246,3.162277661949986e-07,8.526265749292374,6.185683941154704e-16,7.247331709978523e-08,True,True
247,3.162277661949986e-07,10.77128621487706,1.2572137341598788e-15,8.236586024013055e-08,True,True
248,3.162277661949986e-07,14.512986990851536,5.735836068263001e-16,8.154169989332234e-11,True,True
249,3.162277661949986e-07,8.526265749292374,6.185683941154704e-16,7.247331709978523e-08,True,True
250,3.162277661949986e-07,10.77128621487706,1.2572137341598788e-15,8.236586024013055e-08,True,True
251,3.162277661949986e-07,14.512986990851536,5.735836068263001e-16,8.154169989332234e-11,True,True
252,3.162277661949986e-07,8.526265749292374,6.185683941154704e-16,7.247331709978523e-08,True,True
253,3.162277661949986e-07,10.77128621487706,1.2572137341598788e-15,8.236586024013055e-08,True,True
254,3.162277661949986e-07,14.512986990851536,5.735836068263001e-16,8.154169989332234e-11,True,True
255,3.162277661949986e-07,8.183136982910641,9.036334887348456e-16,7.085871747093874e-08,True,True
256,3.162277661949986e-07,10.428157448495327,9.946030273249445e-16,8.092203041567514e-08,True,True
257,3.162277661949986e-07,14.169858224469802,4.949653967939449e-16,7.761661598280277e-11,True,True
258,3.162277661949986e-07,8.188145338533875,7.435204389021413e-16,7.088265395437353e-08,True,True
259,3.162277661949986e-07,10.43316580411856,8.967029592812925e-16,8.094311046597061e-08,True,True
260,3.162277661949986e-07,14.174866580093036,5.976664475826343e-16,7.770117718457623e-11,True,True
261,3.162277661949986e-07,8.188145338533875,7.435204389021413e-16,7.088265395437353e-08,True,True
262,3.162277661949986e-07,10.43316580411856,8.967029592812925e-16,8.094311046597061e-08,True,True
263,3.162277661949986e-07,14.174866580093036,5.976664475826343e-16,7.770117718457623e-11,True,True
264,3.162277661949986e-07,8.188145338533875,7.435204389021413e-16,7.088265395437353e-08,True,True
